wpPostId,title,slug,url,parentId,mimeType,width,height,attachedFile
7,logo-la-rueca,logo-la-rueca,https://editoriallarueca.com/wp-content/uploads/logo-la-rueca.png,,image/png,500,182,logo-la-rueca.png
30,espiral,espiral,https://editoriallarueca.com/wp-content/uploads/espiral.png,,image/png,977,681,espiral.png
32,wheel-icon-black,wheel-icon-black,https://editoriallarueca.com/wp-content/uploads/wheel-icon-black.svg,,,150,150,wheel-icon-black.svg
33,wheel-icon-red,wheel-icon-red,https://editoriallarueca.com/wp-content/uploads/wheel-icon-red.svg,,,150,150,wheel-icon-red.svg
34,wheel-icon-white,wheel-icon-white,https://editoriallarueca.com/wp-content/uploads/wheel-icon-white.svg,,,150,150,wheel-icon-white.svg
43,portada-libro,portada-libro,https://editoriallarueca.com/wp-content/uploads/portada-libro.jpg,,image/jpeg,500,707,portada-libro.jpg
48,arrow-black-next,arrow-black-next,https://editoriallarueca.com/wp-content/uploads/arrow-black-next.svg,,,150,150,arrow-black-next.svg
49,arrow-black-prev,arrow-black-prev,https://editoriallarueca.com/wp-content/uploads/arrow-black-prev.svg,,,150,150,arrow-black-prev.svg
50,arrow-red-next,arrow-red-next,https://editoriallarueca.com/wp-content/uploads/arrow-red-next.svg,,,150,150,arrow-red-next.svg
51,arrow-red-prev,arrow-red-prev,https://editoriallarueca.com/wp-content/uploads/arrow-red-prev.svg,,,150,150,arrow-red-prev.svg
52,proceso-asesoramiento,proceso-asesoramiento,https://editoriallarueca.com/wp-content/uploads/proceso-asesoramiento.jpg,,image/jpeg,800,600,proceso-asesoramiento.jpg
53,proceso-correccion,proceso-correccion,https://editoriallarueca.com/wp-content/uploads/proceso-correccion.jpg,,image/jpeg,800,600,proceso-correccion.jpg
54,proceso-distribucion,proceso-distribucion,https://editoriallarueca.com/wp-content/uploads/proceso-distribucion.jpg,,image/jpeg,800,600,proceso-distribucion.jpg
55,proceso-manuscrito,proceso-manuscrito,https://editoriallarueca.com/wp-content/uploads/proceso-manuscrito.jpg,,image/jpeg,800,600,proceso-manuscrito.jpg
56,proceso-maquetacion,proceso-maquetacion,https://editoriallarueca.com/wp-content/uploads/proceso-maquetacion.jpg,,image/jpeg,800,600,proceso-maquetacion.jpg
57,proceso-presupuesto,proceso-presupuesto,https://editoriallarueca.com/wp-content/uploads/proceso-presupuesto.jpg,,image/jpeg,800,600,proceso-presupuesto.jpg
58,fondo-home-1,fondo-home-1,https://editoriallarueca.com/wp-content/uploads/fondo-home-1.jpg,,image/jpeg,1800,1199,fondo-home-1.jpg
59,fondo-home-2,fondo-home-2,https://editoriallarueca.com/wp-content/uploads/fondo-home-2.jpg,,image/jpeg,1800,1199,fondo-home-2.jpg
60,about-rueca,about-rueca,https://editoriallarueca.com/wp-content/uploads/about-rueca.jpg,,image/jpeg,700,700,about-rueca.jpg
61,fondo-about,fondo-about,https://editoriallarueca.com/wp-content/uploads/fondo-about.jpg,,image/jpeg,470,470,fondo-about.jpg
62,fondo-contacto,fondo-contacto,https://editoriallarueca.com/wp-content/uploads/fondo-contacto.jpg,,image/jpeg,1701,1213,fondo-contacto.jpg
63,fondo-trans-contacto,fondo-trans-contacto,https://editoriallarueca.com/wp-content/uploads/fondo-trans-contacto.png,,image/png,1800,400,fondo-trans-contacto.png
64,fondo-contacto-trans,fondo-contacto-trans,https://editoriallarueca.com/wp-content/uploads/fondo-contacto-trans.png,,image/png,1800,400,fondo-contacto-trans.png
74,logo-footer,logo-footer,https://editoriallarueca.com/wp-content/uploads/logo-footer.png,,image/png,221,74,logo-footer.png
76,espiral-roja,espiral-roja,https://editoriallarueca.com/wp-content/uploads/espiral-roja.png,,image/png,739,512,espiral-roja.png
77,firma,firma,https://editoriallarueca.com/wp-content/uploads/firma.png,,image/png,159,120,firma.png
78,fondo-parallax,fondo-parallax,https://editoriallarueca.com/wp-content/uploads/fondo-parallax.jpg,,image/jpeg,1800,1200,fondo-parallax.jpg
79,foto-almudena,foto-almudena,https://editoriallarueca.com/wp-content/uploads/foto-almudena.jpg,,image/jpeg,286,391,foto-almudena.jpg
91,formato-digital,formato-digital,https://editoriallarueca.com/wp-content/uploads/formato-digital.jpg,,image/jpeg,800,500,formato-digital.jpg
92,formato-papel,formato-papel,https://editoriallarueca.com/wp-content/uploads/formato-papel.jpg,,image/jpeg,800,500,formato-papel.jpg
93,icon-correccion-black,icon-correccion-black,https://editoriallarueca.com/wp-content/uploads/icon-correccion-black.svg,,,150,150,icon-correccion-black.svg
94,icon-correccion-red,icon-correccion-red,https://editoriallarueca.com/wp-content/uploads/icon-correccion-red.svg,,,150,150,icon-correccion-red.svg
95,icon-isbn-black,icon-isbn-black,https://editoriallarueca.com/wp-content/uploads/icon-isbn-black.svg,,,150,150,icon-isbn-black.svg
96,icon-isbn-red,icon-isbn-red,https://editoriallarueca.com/wp-content/uploads/icon-isbn-red.svg,,,150,150,icon-isbn-red.svg
97,icon-maquetacion-black,icon-maquetacion-black,https://editoriallarueca.com/wp-content/uploads/icon-maquetacion-black.svg,,,150,150,icon-maquetacion-black.svg
98,icon-maquetacion-red,icon-maquetacion-red,https://editoriallarueca.com/wp-content/uploads/icon-maquetacion-red.svg,,,150,150,icon-maquetacion-red.svg
99,icon-portada-black,icon-portada-black,https://editoriallarueca.com/wp-content/uploads/icon-portada-black.svg,,,150,150,icon-portada-black.svg
100,icon-portada-red,icon-portada-red,https://editoriallarueca.com/wp-content/uploads/icon-portada-red.svg,,,150,150,icon-portada-red.svg
101,icon-promocion-black,icon-promocion-black,https://editoriallarueca.com/wp-content/uploads/icon-promocion-black.svg,,,150,150,icon-promocion-black.svg
102,icon-promocion-red,icon-promocion-red,https://editoriallarueca.com/wp-content/uploads/icon-promocion-red.svg,,,150,150,icon-promocion-red.svg
103,icon-correccion-black-2,icon-correccion-black-2,https://editoriallarueca.com/wp-content/uploads/icon-correccion-black-2.svg,,,150,150,icon-correccion-black-2.svg
104,icon-correccion-red-2,icon-correccion-red-2,https://editoriallarueca.com/wp-content/uploads/icon-correccion-red-2.svg,,,150,150,icon-correccion-red-2.svg
105,icon-deposito-black,icon-deposito-black,https://editoriallarueca.com/wp-content/uploads/icon-deposito-black.svg,,,150,150,icon-deposito-black.svg
106,icon-deposito-red,icon-deposito-red,https://editoriallarueca.com/wp-content/uploads/icon-deposito-red.svg,,,150,150,icon-deposito-red.svg
107,icon-impresion-black,icon-impresion-black,https://editoriallarueca.com/wp-content/uploads/icon-impresion-black.svg,,,150,150,icon-impresion-black.svg
108,icon-impresion-red,icon-impresion-red,https://editoriallarueca.com/wp-content/uploads/icon-impresion-red.svg,,,150,150,icon-impresion-red.svg
