candidateKey,sourceWpPostId,name,normalizedName,slug,normalizedSlug,oldUrl,rawReview,plainTextPreview,bioCandidate,thumbnailId,thumbnailUrl,imageFieldId,imageFieldUrl,status,classification,classificationReasons,possibleDuplicateGroup,reviewLikelyType,reviewConfidence,yoastMetaTitle,yoastMetaDescription,canonicalUrl
author:556,556,Guillermo M. Schrem,guillermo m schrem,guillermo-m-schrem,guillermo-m-schrem,https://editoriallarueca.com/autor/guillermo-m-schrem/,"<p>Una nueva investigación se abre en un valle donde la gente tiene mucho que decir y muy pocas ganas de hablar, así que un inspector con métodos poco ortodoxos llega para hurgar en la reciente historia del asesinato de una menor y no solo consigue alterar a sus habitantes sino que también remueve las viejas leyendas que circulan por el valle.</p>","Una nueva investigación se abre en un valle donde la gente tiene mucho que decir y muy pocas ganas de hablar, así que un inspector con métodos poco ortodoxos llega para hurgar en la reciente historia del asesinato de una menor y no solo co…",,557,https://editoriallarueca.com/wp-content/uploads/WhatsApp-Image-2022-07-21-at-7.21.26-PM.jpeg,,,publish,legacy_author_book_combined,tf_libro poblado,possible-author:guillermo m schrem,book_synopsis,medium,,,
author:559,559,Luis Gausach,luis gausach,luis-gausach,luis-gausach,https://editoriallarueca.com/autor/luis-gausach/,"<p>La salvaje, es la historia de una niña que quedó huérfana a la edad de trece años.</p>
<p>Cuando los indios mataron a toda su familia. Tuvo que aprender a sobrevivir y defenderse con flechas y cuchillos.</p>
<p>Con dieciséis años, logró matar ella sola, a los indios que habían matado a su familia. Más tarde marchó en busca de la civilización y consiguió fundar la primera empresa de comida envasada de EE. UU</p>
<p>La familia Bedford - Mackenna, es una de las más ricas del mundo. Algunos de sus hijos y nietos, son hoy en día miembros del senado.</p>","La salvaje, es la historia de una niña que quedó huérfana a la edad de trece años. Cuando los indios mataron a toda su familia. Tuvo que aprender a sobrevivir y defenderse con flechas y cuchillos. Con dieciséis años, logró matar ella sola,…",,622,https://editoriallarueca.com/wp-content/uploads/FotoLuisGaushac.jpg,,,publish,legacy_author_book_combined,tf_libro poblado,,book_synopsis,medium,,,
author:563,563,Ana Córdoba del Campo,ana cordoba del campo,ana-cordoba-del-campo,ana-cordoba-del-campo,https://editoriallarueca.com/autor/ana-cordoba-del-campo/,"<p>« Se trata de un libro de poesía, que habla sobre todo del amor, de los sentimientos, de la soledad, de fracasos y éxitos. Sentimientos de cosas vividas en primera y tercera persona. Nuestras vivencias y lo que nos rodea, de lo que leemos o vemos en la televisión.</p>
<p>Ambos transitamos el mismo espacio hacia el refugio errático donde habita nuestro yo más íntimo. Cada uno a su paso.</p>
<p>Ana hace una poesía muy fresca, tiene prisa para que lo que siente no se pierda. En su fragilidad aparente oculta mucha fuerza: versos recién hechos que huelen a ella.  Ángel anda despacio entre la incertidumbre, fiel a sí mismo en cada letra, como la sangre que lo llena. A pesar de su diferencia de edad, quedaron cruzados en este bonito camino de las letras, tienen las mismas raíces y eso se nota. Pasa, esta es tu casa, saboréalo»</p>","« Se trata de un libro de poesía, que habla sobre todo del amor, de los sentimientos, de la soledad, de fracasos y éxitos. Sentimientos de cosas vividas en primera y tercera persona. Nuestras vivencias y lo que nos rodea, de lo que leemos…",,617,https://editoriallarueca.com/wp-content/uploads/fotoAna.jpg,,,publish,legacy_author_book_combined,tf_libro poblado,possible-author:ana cordoba del campo,book_synopsis,medium,,,
author:565,565,Verónica Gómez-Acebo,veronica gomez acebo,veronica-gomez-acebo,veronica-gomez-acebo,https://editoriallarueca.com/autor/veronica-gomez-acebo/,"<p>Cocina para personas muy ocupadas en sus quehaceres profesionales alejados de los fogones y faltas de tiempo para ir aquí o allí a comprar esto o aquello o para navegar en internet para adquirirlo.</p>
<p style=""text-align: right;""><em> Rosa Tovar</em></p>
<p>Un libro de  recetas fáciles y rápidas de elaborar, saludables y variadas, algunas de toda la vida y otras mas modernas, todas ellas adaptadas a nuestro tiempo.</p>
<p>Recetas “todo en uno” en las que con escasos conocimientos gastronómicos,  una sola cazuela o fuente de horno adecuada y una cuidada presentación el éxito está asegurado.</p>
<p>Recetas con un “toque” para salir de la rutina, para convertir un simple filete o incluso un repollo en un plato apetecibe y divertido.</p>
<p>Y quizás tengamos el placer de escuchar a los nuestros decir:</p>
<p>¡Qué bien se come en casa!</p>",Cocina para personas muy ocupadas en sus quehaceres profesionales alejados de los fogones y faltas de tiempo para ir aquí o allí a comprar esto o aquello o para navegar en internet para adquirirlo. Rosa Tovar Un libro de recetas fáciles y…,,636,https://editoriallarueca.com/wp-content/uploads/FotoVeronica.jpg,,,publish,legacy_author_book_combined,tf_libro poblado,,book_synopsis,medium,,,
author:568,568,Jaime Caba,jaime caba,jaime-caba,jaime-caba,https://editoriallarueca.com/autor/jaime-caba/,"<p><strong>Cuando su mirada pasaba por Halley</strong>, es un viaje introspectivo de años donde los contrastes que se desarrollan en el transcurso de la historia, son por medio del estado emocional de nuestro protagonista Halley, siendo la emoción un acceso a portales y lugares donde aprender.</p>
<p>El dominio o gestión emocional le concede llaves con la posibilidad de llegar a su hogar, la Casa de los Cuerpos Celestes, ese lugar de divinidad, donde la estabilidad emocional genera una plena consciencia de la realidad y un bienestar, revelando nuestra verdadera identidad.</p>
<p>La acción-reacción de nuestro Cometa será decisiva para estar en órbita y regresar a Casa, para eso pasará por distintos escenarios de confrontación, donde la profundidad y sensibilidad serán esa guía que le permita aprender en ese lugar de inconsciencia conocido como Planeta Tierra, en este la intención nos filtra en ciclos tiempo.</p>","Cuando su mirada pasaba por Halley , es un viaje introspectivo de años donde los contrastes que se desarrollan en el transcurso de la historia, son por medio del estado emocional de nuestro protagonista Halley, siendo la emoción un acceso…",,604,https://editoriallarueca.com/wp-content/uploads/JaimeCaba.jpg,,,publish,legacy_author_book_combined,tf_libro poblado,,book_synopsis,medium,,,
author:571,571,Antoñita la Fantástica,antonita la fantastica,antonita-la-fantastica,antonita-la-fantastica,https://editoriallarueca.com/autor/antonita-la-fantastica/,"<p><span style=""font-weight: 400;"">Presentación del libro </span></p>
<p><span style=""font-weight: 400;"">Desde Barcelona con Amor.</span></p>
<p><span style=""font-weight: 400;"">Antes de seguir, muchas gracias por el interés de leer, mis relatos que se podrían calificar como “delirios cervantinos” o  divertimentos literarios.</span></p>
<p><span style=""font-weight: 400;""> Yo me defino como una escritora más bien “casual y de cercanías”, por lo tanto el evento de presentar mi libro, se lo dejo para los genios de la literatura, como Almudena Grandes o Eduardo  Mendoza.</span></p>
<p><span style=""font-weight: 400;"">El título “Desde Barcelona con Amor” es un poco la consecuencia, del aburrimiento de estar continuamente escuchando noticias negativas sobre Barcelona.</span></p>
<p><span style=""font-weight: 400;"">Escribo bajo seudónimo, porque mi nombre real no es nada glamuroso, y me sirve de nexo para conectarme con los diferentes protagonistas de mis relatos, así pues, yo siempre aparezco, de alguna forma, dentro de mis historias, aunque sea fugazmente.</span></p>
<p>&nbsp;</p>
<p><span style=""font-weight: 400;"">Me inspira “La Cubana”, compañía teatral.</span></p>
<p><span style=""font-weight: 400;"">Esa locura de que los actores, actrices interactúen con el público, que los espectadores  formen parte de la obra me fascina, me parece una genialidad, esa capacidad que tienen para inventar y desarrollar otras formas de hacer teatro, de representar un musical,  es maravillosamente admirable.</span></p>
<p><span style=""font-weight: 400;"">Esa frescura y espontaneidad con la que se mueven los actores y actrices sobre el escenario o por el patio de butacas, qué no sabes bien si estás asistiendo a un ensayo  o a la primera representación, es de una sencillez extraordinaria, y da igual que vayas una vez, que lo hagas seis, siempre es la misma sensación.</span></p>
<p><span style=""font-weight: 400;"">¿¡Es un ensayo o la primera representación!?</span></p>
<p><span style=""font-weight: 400;"">Ese es el dinamismo  del cual a mí me gustaría impregnar a mis personajes, todos están en mi cabeza, por lo tanto todos forman parte del relato incluida la voz en off.</span></p>
<p><span style=""font-weight: 400;"">La película La Rosa Púrpura del Cairo, tiene este giro de guión, donde un actor sale de la pantalla del cine para hablar con una espectadora.</span></p>
<p>&nbsp;</p>
<p><span style=""font-weight: 400;"">Resumiendo mucho, yo “hago una caricatura de la huella emocional -de la ingenuidad- de mis personajes”</span></p>
<p><span style=""font-weight: 400;"">Normalmente son los padres, las madres quienes  leen a los niños antes de ir a dormir. Este libro está pensado, al revés, para que sean las niñas o los niños  quienes se lo lean a ellos, o a otros niños, o a sus abuelos. De modo que está escrito para leerlo en voz alta, para ser escuchado. La tonalidad, el énfasis, varía si leemos de viva voz o solo para nosotros. </span></p>
<p><span style=""font-weight: 400;"">Por supuesto, cada cual que lo lea como más le guste, pero que lo lea.</span></p>
<p><span style=""font-weight: 400;"">P.D. Creo que el único que no se debería leer en voz alta es, “Almas románticas”  quizás sea más intimista. </span></p>
<p><span style=""font-weight: 400;"">Cada uno de nosotros tenemos nuestra  huella emocional, ese modo de ser o de actuar, esa primera impresión por la cual nos identifican, o  reconocemos en los demás, ese ligero trazo que destaca de su personalidad. </span></p>
<p><span style=""font-weight: 400;"">Personalmente me llama mucho la atención, ese rasgo de nuestro carácter, que es la ingenuidad mezclada con el razonamiento empírico, por ejemplo.</span></p>
<p><span style=""font-weight: 400;"">Todos sabemos lo que es un chaleco salvavidas, por lo tanto, si tú te pones un cha-le-co-sal-va-vi-das, sin importar cuál sea tu situación de riesgo, ya sea dentro del coche, escalando, yendo en bici, en el avión, se supone que tu vida no corre peligro, tranquilo, tranquila llevas un chaleco salvavidas, ¡nada malo te puede pasar! Los personajes son próximos y ligeros, escribo como si tú formaras parte de la historia, por ello no son necesarias las descripciones, cada quién que decida como son, quizás te recuerdan a alguien que conoces ya sea cercano o lejano, o simplemente a ti mismo.</span></p>
<p><span style=""font-weight: 400;"">Y como dijo el gurú de La Moncloa, en ese momento estelar “Urbi et orbi “</span></p>
<p><span style=""font-weight: 400;"">- Todo es cierto, salvo algunas cositas, y lo segundo, ya tal -fin de la cita-.</span></p>
<p><span style=""font-weight: 400;"">Mis personajes están inspirados en personas reales hasta el punto de conservar sus nombres originales.</span></p>
<p><span style=""font-weight: 400;"">La primera sensación que transmiten, es su “candor”, ese coctel de inocencia, ausencia de malicia e hipocresía, esta marca emotiva, es el nexo entre todos ellos.</span></p>
<p><span style=""font-weight: 400;"">¿Qué es el candor?</span></p>
<p><span style=""font-weight: 400;"">Cuando tus llegas a casa de tu amiga y su hija de cinco años te dice.</span></p>
<p><span style=""font-weight: 400;"">-“Mira, tengo una cajita llena de varitas mágicas”.</span></p>
<p><span style=""font-weight: 400;"">Y al abrirla ves que son cucharillas de café con leche y que además está completamente convencida, que lo que hay dentro de los lápices, no es la tinta, sino que son letras y números , y se coloca delante de ti y te explica su teoría por la cual llegó a esa conclusión, ¿qué puedes hacer? -Nada, solo dejarte envolver por esa cálida sensación de ternura, para que quede grabada para siempre en la memoria emotiva de tus recuerdos.</span></p>
<p><span style=""font-weight: 400;"">Karla mi querida Karla, eres  el candor personificado y mi musa, al igual que el resto de todos los niños y niñas que conozco o con los cuales me cruzo en mi día a día.</span></p>
<p>&nbsp;</p>
<p><span style=""font-weight: 400;"">Os hago un resumen muy breve de qué o quién me inspiró mis relatos.</span></p>
<p>&nbsp;</p>
<p><span style=""font-weight: 400;"">I-El Conseguidor de sueños. La primera parte, es el peculiar tour turístico por Barcelona  de Michel. Él es un parisino que un día viene a conocer Barcelona y le gustó tanto que se queda a vivir en ella... Es profesor de francés, la singular forma de enseñar su idioma, sus clases y sus alumnos me inspiraron la segunda parte del relato.</span></p>
<p><span style=""font-weight: 400;"">III-México-Venecia Teotihuacán. -Sale de una cena que tuve con mis amigos mexicanos, en Barcelona vísperas de Sant Jordi. Humberto me pregunta si habría mucha gente en la calle, que si eso sucede él no piensa salir del hotel. Roxana, su mujer, y yo nos miramos extrañadas, en el D.F, que es donde viven, tienen tantos habitantes como toda Cataluña (8 millones de personas) y para más inri, a los tres días se iban a Venecia. Y de ese momento saqué esta historia. Cuando estamos muy agobiados, ¡a toditos todas nos gustaría irnos a una isla! Y que esté bien lejos de nuestro lugar de residencia, también deseamos viajar o irnos a vivir fuera de nuestra ciudad o país, tenemos ansias de conocer mundo, para después pasar nuestra estancia buscando comidas, bebidas, lugares, etc. que nos recuerden a nuestro lugar de origen. Que es lo que hace Humberto en la primera parte.</span></p>
<p><span style=""font-weight: 400;"">La segunda y tercera parte es cuando se manifiesta en nosotros el síndrome de Cristóbal Colón, descubriendo nuestro país y sentimos esa imperativa necesidad de contárselo a los demás, porque creemos que somos los primeros en verlo. Creo que ahora se llama instagram.</span></p>
<p>&nbsp;</p>
<p><span style=""font-weight: 400;"">IV-Súper Mario ya tiene quién le escriba-</span></p>
<p><span style=""font-weight: 400;"">Bueno la primera parte, versa, sobre esa situación de tener un encargo literario, tener una fecha de entrega, pero la inspiración se ha esfumado y la pereza ha Okupado tu mente, y no sabes por dónde empezar. Tu agente literario, te recuerda cada día que el tiempo pasa y no ve ningún progreso. .. da la impresión que haya mutado en el cobrador del frac.</span></p>
<p><span style=""font-weight: 400;"">P.D.-La escena del parto y el cordón umbilical es verídico, y lo he resumido, porque el catálogo continuaba, por lo visto en las privadas el parto no solo es sin dolor, sino que además es un espectáculo. Te lo pueden filmar, ¿crees que la banda sonora será la original, con subtítulos? ¿Aparecerá en un recuadrito el traductor para sordos? lo dejo aquí, porque ya mi mente empieza a imaginar.</span></p>
<p><span style=""font-weight: 400;"">La segunda parte es la que realmente está vinculada al titulo.</span></p>
<p><span style=""font-weight: 400;"">La situación es la siguiente, padres y madres que van a merendar a la cafetería con sus respectiva hijas, Clara (siempre con sus cascos puestos) y Ainhoa, que a su vez son muy amiguitas.</span></p>
<p><span style=""font-weight: 400;"">Uno de los padres Jordi alias “Súper Mario” es reformador de grandes edificios, y va vestido tal cual, solo le falta el casco. Su mujer Neus –Maria de las Nieves-investigadora en el Banco de Sangre en Barcelona-</span></p>
<p><span style=""font-weight: 400;"">Conversación-</span></p>
<p><span style=""font-weight: 400;"">-Jordi necesito unas vacaciones, ya, estoy muy cansada.</span></p>
<p><span style=""font-weight: 400;"">-¿Qué os parece -dice la mamá de Carla- si hacemos un crucero los cuatro juntos?</span></p>
<p><span style=""font-weight: 400;"">-¿Qué haces Jordi? -le pregunta su mujer Neus</span></p>
<p><span style=""font-weight: 400;"">-Mirar si alguien me había escrito- Esta frase es la que me dio el pie para el título del relato.</span></p>
<p><span style=""font-weight: 400;"">Como anécdota os diré que en este relato, hay un momento que aparece una “marcianita”, existe realmente, pero no sé quién es. Desde mi trabajo veo  cada día asomarse a la ventana, del edificio de enfrente, una joven  vestida de verde a fumar su cigarrillo, y me pareció original darle su minuto de gloria. Creo, por los ademanes, que es una mujer, seguro no lo sé.</span></p>
<p><span style=""font-weight: 400;"">V-Tierras de almas románticas.</span></p>
<p><span style=""font-weight: 400;"">Se me ocurrió viendo un día “Firts Dates” o esas aplicaciones para buscar pareja. Siento un poquito de pena hacia ellos y ellas, pues dan la impresión que un día se fueron hacer recados y  en su lista estaba </span></p>
<p><span style=""font-weight: 400;"">“ir a buscar el amor” como hace la mariposa en la primera parte.</span></p>
<p><span style=""font-weight: 400;"">La segunda parte, es muy cortita, pero trata de la desesperación que se sufre, cuando tienes que dejar a tu pareja, en busca de un futuro mejor para ambos.</span></p>
<p><span style=""font-weight: 400;"">Y la tercera versa sobre el desamor, sobre todo si te enamoras de quién no debes o no eres correspondido.</span></p>
<p><span style=""font-weight: 400;"">Para mí el romanticismo es un estilo de vida, igual que es ser gótico, vegetariano. . . creo que se podría definir, por la serenidad, la cortesía y la elegancia tanto en las formas como en las emociones.</span></p>
<p><span style=""font-weight: 400;"">El segundo relato.</span></p>
<p><span style=""font-weight: 400;""> II-Crónicas de la señora Cinesa -lo dejè expresamente para el final, mi primer escrito y el que es más personal, lo considero un relato de auto-ayuda, al menos par mí, así lo fue. Tanto las películas, como las notas, fueron en su momento esos “clavos ardiendo”, a los cuales me tuve que aferrar para hacer mi “remontada vital”. Os acordáis de aquella secuencia de la película La Tormenta Perfecta-donde el capitán tiene delante de él, una ola de 30 metros de altura, pone el motor a toda máquina mientras, se aferra al timón con todas sus fuerzas, implorando a su Dios y a todos sus seres queridos, vivos y fallecidos, que le ayuden, porque todavía le queda mucha vida por delante, pues esa fue mi situación durante dos años, otro año más tocando  fondo y tres de remontada. Hubo un momento de conjunción de estrellas y no fue para bien.</span></p>
<p><span style=""font-weight: 400;""> Coincide con la crisis económica, social, emocional.</span></p>
<p><span style=""font-weight: 400;"">Y hasta aquí puedo escribir</span></p>
<p><span style=""font-weight: 400;"">Gracias de nuevo por vuestro interés y sobre todo por vuestro tiempo</span></p>
<p><span style=""font-weight: 400;"">Un afectuoso saludo.</span></p>
<p><span style=""font-weight: 400;"">Antoñita La fantástica.</span></p>
<p>&nbsp;</p>","Presentación del libro Desde Barcelona con Amor. Antes de seguir, muchas gracias por el interés de leer, mis relatos que se podrían calificar como “delirios cervantinos” o divertimentos literarios. Yo me defino como una escritora más bien…",,574,https://editoriallarueca.com/wp-content/uploads/w_DesdeBCNconAmor_dibujo-1.jpg,,,publish,author_only_candidate,tf_libro vacío,,author_bio,medium,,,
author:575,575,Carlos Ríos Camacho,carlos rios camacho,carlos-rios-camacho,carlos-rios-camacho,https://editoriallarueca.com/autor/carlos-rios-camacho/,"<p><strong>LA TRENZA DORADA Y OTROS RELATOS PARA TIEMPOS NUEVOS</strong> es un conjunto de narraciones cortas donde se exponen una serie de historias literarias muy variadas que nos pueden trasladar a nuestra propia infancia, la España de Carlos III, el mundo de los castros en la Gallaecia Antigua, el universo wagneriano de un muy actual Tannhäuser,  el hidalgo Camacho que quiere aclarar las cosas con el Quijote,  entre otros mundos a los que desde la imaginación y experiencia histórico-literaria es posible acceder para no perder nuestras referencias como personas y pueblo. Preparar un Tiempo Nuevo que mira desde el pasado y presente, al futuro.</p>
<p>Ilustraciones del pintor y dibujante Mariano De Souza.</p>
<p>LA TRENZA DORADA. En los momentos de la conquista romana de las poblaciones galaicas, el poblado de Medulio resiste ante las legiones romanas. A las tribus de los Arnacht y Gussen, del pueblo gigurro, no les queda otra opción que la de centrarse en sus propias tradiciones y modo de ver la vida ante una conquista que no sólo va a ser militar. Okera y Aret sostienen los símbolos perennes del amor, la belleza y la identidad.</p>","LA TRENZA DORADA Y OTROS RELATOS PARA TIEMPOS NUEVOS es un conjunto de narraciones cortas donde se exponen una serie de historias literarias muy variadas que nos pueden trasladar a nuestra propia infancia, la España de Carlos III, el mundo…",,595,https://editoriallarueca.com/wp-content/uploads/FotoCarlosRios.jpg,,,publish,legacy_author_book_combined,tf_libro poblado,,book_synopsis,medium,,,
author:589,589,Antonio Lorenzo Gómez Charlín,antonio lorenzo gomez charlin,antonio-lorenzo-gomez-charlin,antonio-lorenzo-gomez-charlin,https://editoriallarueca.com/autor/antonio-lorenzo-gomez-charlin/,"<p><strong><em>Réquiem por un escritor desconocido, </em></strong>es un libro que transcurre en tres planos temporales; el pasado, el futuro y el presente. La primera parte del libro titulada <em>El descubrimiento de la soledad</em>, narra la infancia, la adolescencia y el comienzo de la madurez, con el telón de fondo del deporte de élite, la formación como escritor autodidacta, el sexo y los primeros desengaños vitales. La segunda parte titulada<em> Las heridas del tiempo, </em>narra la vejez del protagonista, cuya obra ha caído en el olvido, excepto uno de sus libros, que tiene un éxito inesperado. Espoleado por una joven descarada y talentosa, el viejo escritor acaba entregando su diario de la pandemia, en donde narra su particular confinamiento y sus reflexiones sobre la vida y la literatura, en medio del caos de muertos y contagiados, con una prosa contaminada por la lectura y la sombra siempre sospechosa de ser un escritor desconocido.</p>","Réquiem por un escritor desconocido, es un libro que transcurre en tres planos temporales; el pasado, el futuro y el presente. La primera parte del libro titulada El descubrimiento de la soledad , narra la infancia, la adolescencia y el co…",,591,https://editoriallarueca.com/wp-content/uploads/FotoCharlin.jpg,,,publish,legacy_author_book_combined,tf_libro poblado,,book_synopsis,medium,,,
author:592,592,José Argimiro Cordobés Pérez,jose argimiro cordobes perez,jose-argimiro-cordobes-perez,jose-argimiro-cordobes-perez,https://editoriallarueca.com/autor/jose-argimiro-cordobes-perez/,"<p>A los padres y madres que dedicaron los mejores años de du vida en engrandecer la de sus hijos y no tuvieron un reconocimiento como el que pretende esta obra.</p>
<p>&nbsp;</p>",A los padres y madres que dedicaron los mejores años de du vida en engrandecer la de sus hijos y no tuvieron un reconocimiento como el que pretende esta obra. &nbsp;,,594,https://editoriallarueca.com/wp-content/uploads/FotoArgimiroPortada.jpg,,,publish,legacy_author_book_combined,tf_libro poblado,,book_synopsis,medium,,,
author:596,596,Fernando Grijalba,fernando grijalba,fernando-grijalba,fernando-grijalba,https://editoriallarueca.com/autor/fernando-grijalba/,"<p>Macarena es enfermera. Tras haber pasado por otros tantos destinos es contratada en el hospital comarcal de Miranda de Ebro.</p>
<p>Cuando una compañera la pide un cambio de turno no puede negarle el favor y la sustituye en Urgencias. La tarde transcurría tranquila hasta que una llamada telefónica les alerta de un terrible accidente. Dos ambulancias trasladan a las víctimas hasta el hospital y Maca, no pudiendo soportar la escena, entra en shock y tiene que ser atendida por sus compañeros. Aquella hilera de figuras inertes le hace rememorar otro desagradable episodio, motivo por el cual siente cómo su cuerpo se queda paralizado y su mente nublada hasta el extremo de caer desplomada.</p>",Macarena es enfermera. Tras haber pasado por otros tantos destinos es contratada en el hospital comarcal de Miranda de Ebro. Cuando una compañera la pide un cambio de turno no puede negarle el favor y la sustituye en Urgencias. La tarde tr…,,597,https://editoriallarueca.com/wp-content/uploads/FotoFernandgrijalba.jpg,,,publish,legacy_author_book_combined,tf_libro poblado,,book_synopsis,medium,,,
