bookCandidateKey,bookTitle,sourceWpPostId,authorNames,attachmentId,attachmentUrl,filename,attachmentTitle,width,height,aspectRatio,score,confidence,reasons
book:el valle de cristal,El Valle de Cristal,556,Guillermo M. Schrem,1039,https://editoriallarueca.com/wp-content/uploads/w_POLLOS_maq2_portada_OK2_sinmarcas.jpg,w_POLLOS_maq2_portada_OK2_sinmarcas.jpg,w_POLLOS_maq2_portada_OK2_sinmarcas,500,731,0.684,38,low,filename/title contiene señal de portada: portada | proporcion vertical compatible con portada | dimensiones razonables para cover
book:el valle de cristal,El Valle de Cristal,556,Guillermo M. Schrem,1045,https://editoriallarueca.com/wp-content/uploads/W_portada-3.jpg,W_portada-3.jpg,MatamedeFrenteAmazon004,500,738,0.678,38,low,filename/title contiene señal de portada: portada | proporcion vertical compatible con portada | dimensiones razonables para cover
book:el valle de cristal,El Valle de Cristal,556,Guillermo M. Schrem,1176,https://editoriallarueca.com/wp-content/uploads/w_portada_lamuerte.jpg,w_portada_lamuerte.jpg,978-84-19865-47-2_cvs,500,744,0.672,38,low,filename/title contiene señal de portada: portada | proporcion vertical compatible con portada | dimensiones razonables para cover
book:el valle de cristal,El Valle de Cristal,556,Guillermo M. Schrem,1201,https://editoriallarueca.com/wp-content/uploads/w_978-84-19865-40-3_CUBIERTA.jpg,w_978-84-19865-40-3_CUBIERTA.jpg,w_978-84-19865-40-3_CUBIERTA,500,738,0.678,38,low,filename/title contiene señal de portada: cubierta | proporcion vertical compatible con portada | dimensiones razonables para cover
book:el valle de cristal,El Valle de Cristal,556,Guillermo M. Schrem,1229,https://editoriallarueca.com/wp-content/uploads/w_Estasimo-portada.jpg,w_Estasimo-portada.jpg,w_Estásimo - portada,500,700,0.714,38,low,filename/title contiene señal de portada: portada | proporcion vertical compatible con portada | dimensiones razonables para cover
book:la salvaje,La Salvaje,559,Luis Gausach,3021,https://editoriallarueca.com/wp-content/uploads/Libro-La-salvaje_Autor-Luis-Gausachs_Genero-Novela_Editorial-la-Rueca.jpg,Libro-La-salvaje_Autor-Luis-Gausachs_Genero-Novela_Editorial-la-Rueca.jpg,Libro La salvaje_Autor Luis Gausachs_Género Novela_Editorial la Rueca,500,699,0.715,110,high,filename contiene el titulo del libro | attachment title contiene el titulo del libro | slug contiene el titulo del libro | filename/title contiene señal de portada: libro | proporcion vertical compatible con portada | contiene señal de foto de autor: autor
book:la salvaje,La Salvaje,559,Luis Gausach,1039,https://editoriallarueca.com/wp-content/uploads/w_POLLOS_maq2_portada_OK2_sinmarcas.jpg,w_POLLOS_maq2_portada_OK2_sinmarcas.jpg,w_POLLOS_maq2_portada_OK2_sinmarcas,500,731,0.684,38,low,filename/title contiene señal de portada: portada | proporcion vertical compatible con portada | dimensiones razonables para cover
book:la salvaje,La Salvaje,559,Luis Gausach,1045,https://editoriallarueca.com/wp-content/uploads/W_portada-3.jpg,W_portada-3.jpg,MatamedeFrenteAmazon004,500,738,0.678,38,low,filename/title contiene señal de portada: portada | proporcion vertical compatible con portada | dimensiones razonables para cover
book:la salvaje,La Salvaje,559,Luis Gausach,1176,https://editoriallarueca.com/wp-content/uploads/w_portada_lamuerte.jpg,w_portada_lamuerte.jpg,978-84-19865-47-2_cvs,500,744,0.672,38,low,filename/title contiene señal de portada: portada | proporcion vertical compatible con portada | dimensiones razonables para cover
book:la salvaje,La Salvaje,559,Luis Gausach,1201,https://editoriallarueca.com/wp-content/uploads/w_978-84-19865-40-3_CUBIERTA.jpg,w_978-84-19865-40-3_CUBIERTA.jpg,w_978-84-19865-40-3_CUBIERTA,500,738,0.678,38,low,filename/title contiene señal de portada: cubierta | proporcion vertical compatible con portada | dimensiones razonables para cover
