candidateKey,sourceWpPostId,title,author,proposedDecision,adjudicationDecision,confidence,winnerUrl,winnerFilename,positiveCoverScore,negativeAuthorScore,finalScore,winnerGap,selectedImageUrl,selectedImageFilename,selectionSource,explanation
"book:el poderoso sir tristan en la saga del prince valiant 1937 1971 de harold foster la apoteosis medieval de un arte contemporaneo","1569"," El poderoso Sir Tristán en la Saga del Prince Valiant (1937-1971) de Harold Foster. La apoteosis medieval de un arte contemporáneo.","José Carlos Ríos Camacho","approved","safe_book_cover","high","https://editoriallarueca.com/wp-content/uploads/w_portada-10.jpg","w_portada-10.jpg","75","0","75","49","https://editoriallarueca.com/wp-content/uploads/w_portada-10.jpg","w_portada-10.jpg","algorithm","positiveCoverScore 75 >= 75 | negativeAuthorScore 0 < 45 | winnerGap 49 >= 25"
"book:esferas temporales aforismos meditaciones y otros escritos breve recopilacion","1209"," ESFERAS TEMPORALES Aforismos, meditaciones y otros escritos (Breve recopilación)","Francisco Marín Vargas","approved","safe_book_cover","high","https://editoriallarueca.com/wp-content/uploads/w_EsferasPortada003.jpg","w_EsferasPortada003.jpg","83","0","83","65","https://editoriallarueca.com/wp-content/uploads/w_EsferasPortada003.jpg","w_EsferasPortada003.jpg","algorithm","positiveCoverScore 83 >= 75 | negativeAuthorScore 0 < 45 | winnerGap 65 >= 25"
"book:inteligencia artificial en educacion fisica","1194"," Inteligencia Artificial en Educación Física","María Isabel Martín Aranda","approved","safe_book_cover","high","https://editoriallarueca.com/wp-content/uploads/w_RosarioPortada.jpg","w_RosarioPortada.jpg","75","0","75","65","https://editoriallarueca.com/wp-content/uploads/w_RosarioPortada.jpg","w_RosarioPortada.jpg","algorithm","positiveCoverScore 75 >= 75 | negativeAuthorScore 0 < 45 | winnerGap 65 >= 25"
"book:una inolvidable noche de futbol en la pared","1084"," Una inolvidable noche de fútbol en La Pared","Luis Marcelo Carboni","approved","safe_book_cover","high","https://editoriallarueca.com/wp-content/uploads/w_InolvidablePortada.jpg","w_InolvidablePortada.jpg","83","0","83","65","https://editoriallarueca.com/wp-content/uploads/w_InolvidablePortada.jpg","w_InolvidablePortada.jpg","algorithm","positiveCoverScore 83 >= 75 | negativeAuthorScore 0 < 45 | winnerGap 65 >= 25"
"book:voces del alma el arte de escuchar a traves del tarot","1361"," Voces del Alma - El arte de escuchar a través del tarot","Minerva Buiza","manual","ambiguous","low","https://editoriallarueca.com/wp-content/uploads/w_portadaWeb-1.jpg","w_portadaWeb-1.jpg","75","0","75","0","https://editoriallarueca.com/wp-content/uploads/w_portadaWeb-1.jpg","w_portadaWeb-1.jpg","none","Diferencia frente a la segunda candidata insuficiente."
"book:quieres o debes ser feliz darse cuenta de aquello que nos impide ser felices es el primer paso para ser mas feliz","807","¿Quieres o debes ser feliz? - Darse cuenta de aquello que nos impide ser felices, es el primer paso para ser más feliz","Gregorio Muñoz Gómez","manual","ambiguous","low","https://editoriallarueca.com/wp-content/uploads/w_FelizPortada.jpg","w_FelizPortada.jpg","91","0","91","16","https://editoriallarueca.com/wp-content/uploads/w_FelizPortada.jpg","w_FelizPortada.jpg","none","Diferencia frente a la segunda candidata insuficiente."
"book:going my way en 40 poemas","765","“Going my way” en 40 poemas ","Ignacio Luis de Orduña Puebla","approved","safe_book_cover","high","https://editoriallarueca.com/wp-content/uploads/PadreInaki.jpg","PadreInaki.jpg","75","0","75","35","https://editoriallarueca.com/wp-content/uploads/PadreInaki.jpg","PadreInaki.jpg","algorithm","positiveCoverScore 75 >= 75 | negativeAuthorScore 0 < 45 | winnerGap 35 >= 25"
"book:al final de la escapada memoria personal 1951 2011","1219","Al final de la escapada – Memoria personal 1951-2011","Julio Sánchez Alonso","approved","safe_book_cover","high","https://editoriallarueca.com/wp-content/uploads/w_AlFinalPortada.jpg","w_AlFinalPortada.jpg","83","0","83","278","https://editoriallarueca.com/wp-content/uploads/w_AlFinalPortada.jpg","w_AlFinalPortada.jpg","algorithm","positiveCoverScore 83 >= 75 | negativeAuthorScore 0 < 45 | winnerGap 278 >= 25"
"book:al otro lado del rio","963","Al otro lado del río","Ana Ortega Romanillos","approved","safe_book_cover","high","https://editoriallarueca.com/wp-content/uploads/w_RioPortada.jpg","w_RioPortada.jpg","83","0","83","65","https://editoriallarueca.com/wp-content/uploads/w_RioPortada.jpg","w_RioPortada.jpg","algorithm","positiveCoverScore 83 >= 75 | negativeAuthorScore 0 < 45 | winnerGap 65 >= 25"
"book:alma en llamas","909","Alma en llamas","David Supertramp","manual","ambiguous","low","https://editoriallarueca.com/wp-content/uploads/w_EnLlamasPortada.jpg","w_EnLlamasPortada.jpg","83","0","83","8","https://editoriallarueca.com/wp-content/uploads/w_EnLlamasPortada.jpg","w_EnLlamasPortada.jpg","none","Diferencia frente a la segunda candidata insuficiente."
